OldField,NewField
TranNumb,TransactionNumber
CompCode,CompanyCode
BalnYear,FinancialYear
TranDate,PeriodEndDate
PaidCapt,PaidUpCapital
Reserves,Reserves
UnapPrft,UnappropriatedProfit
SharEqut,ShareholdersEquity
CurrAsst,CurrentAssets
CashBank,CashAndBankBalances
AdvnRecv,AdvancesAndReceivables
FixdAsst,FixedAssets
LongLiab1,LongTermLiabilities
OthrLTLiab,OtherLongTermLiabilities
OtherLiab,OtherLiabilities
WorkCapt,WorkingCapital
SaleAmnt,Sales
CostSold,CostOfSales
GrosPrft,GrossProfit
OperExpn,OperatingExpenses
FinExpn,FinanceCosts
OthrIncm,OtherIncome
OthrChrg,OtherCharges
PrftBTax,ProfitBeforeTax
ProvTaxs,Taxation
PrftATax,ProfitAfterTax
RevlAmnt,RevaluationSurplus
CurRatio,CurrentRatio
DebRatio,DebtRatio
BrekValu,BreakupValue
SuboLoan,SubordinatedLoans
LongBorw,LongTermBorrowings
CurrLiab,CurrentLiabilities
CurLTLiab,CurrentPortionLongTermLiabilities
ShorBorw,ShortTermBorrowings
TotlBorw,TotalBorrowings
TradDebt,TradeDebts
StokTrad,StockInTrade
StoreSpare,StoresAndSpares
STInvest,ShortTermInvestments
Invest,LongTermInvestments
OthrFixAsst,OtherFixedAssets
LeasFinan,LeaseFinance
TradOthrPay,TradeAndOtherPayables
CFOprAct,CashFlowFromOperatingActivities
CFInvAct,CashFlowFromInvestingActivities
CFinAct,CashFlowFromFinancingActivities
defferLiab,DeferredLiabilities
FinLeasObtain,FinanceLeaseObligations
OperLeasObtain,OperatingLeaseObligations
AmountIn,AmountMultiplier
CurLeasFin,CurrentLeaseFinance
DepreciationProv,DepreciationProvision
OperProfit,OperatingProfit
AuditorID,DROPPED_UNUSED
RatingID,DROPPED_UNUSED
RatingType,DROPPED_UNUSED
ReportID,DROPPED_UNUSED
UserCode,DROPPED_UNUSED
