symbol,name,compCode
PSO,Pakistan State Oil Company Limited,
OGDC,Oil & Gas Development Company Limited,
PPL,Pakistan Petroleum Limited,
MARI,Mari Energies Limited,
POL,Pakistan Oilfields Limited,
PRL,Pakistan Refinery Limited,
NRL,National Refinery Limited,
SNGP,Sui Northern Gas Pipelines Limited,
SSGC,Sui Southern Gas Company Limited,
HUBC,The Hub Power Company Limited,
KEL,K-Electric Limited,
FFC,Fauji Fertilizer Company Limited,
FFBL,Fauji Fertilizer Bin Qasim Limited,
EFERT,Engro Fertilizers Limited,
ENGRO,Engro Corporation Limited,
LUCK,Lucky Cement Limited,
DGKC,D.G. Khan Cement Company Limited,
MLCF,Maple Leaf Cement Factory Limited,
FCCL,Fauji Cement Company Limited,
PIOC,Pioneer Cement Limited,
CHCC,Cherat Cement Company Limited,
HBL,Habib Bank Limited,
UBL,United Bank Limited,
MCB,MCB Bank Limited,
ABL,Allied Bank Limited,
BAHL,Bank AL Habib Limited,
BAFL,Bank Alfalah Limited,
MEBL,Meezan Bank Limited,
NBP,National Bank of Pakistan,
AKBL,Askari Bank Limited,
BOP,The Bank of Punjab,
SYS,Systems Limited,
NETSOL,NetSol Technologies Limited,
TRG,TRG Pakistan Limited,
AIRLINK,Air Link Communication Limited,
AVN,Avanceon Limited,
PAEL,Pak Elektron Limited,
THALL,Thal Limited,
GHNI,Ghandhara Industries Limited,
HCAR,Honda Atlas Cars (Pakistan) Limited,
INDU,Indus Motor Company Limited,
MTL,Millat Tractors Limited,
ATLH,Atlas Honda Limited,
AGTL,Al-Ghazi Tractors Limited,
ILP,Interloop Limited,
GATM,Gul Ahmed Textile Mills Limited,
NML,Nishat Mills Limited,
KTML,Kohinoor Textile Mills Limited,
FML,Feroze1888 Mills Limited,
UNITY,Unity Foods Limited,
NATF,National Foods Limited,
ISL,International Steels Limited,
INIL,International Industries Limited,
ASTL,Amreli Steels Limited,
MUGHAL,Mughal Iron & Steel Industries Limited,
COLG,Colgate-Palmolive (Pakistan) Limited,
NESTLE,Nestle Pakistan Limited,
RMPL,Rafhan Maize Products Company Limited,
UPFL,Unilever Pakistan Foods Limited,
SEARL,The Searle Company Limited,
GLAXO,GlaxoSmithKline Pakistan Limited,
AGP,AGP Limited,
ABOT,Abbott Laboratories (Pakistan) Limited,
HINOON,Highnoon Laboratories Limited,
ATRL,Attock Refinery Limited,
APL,Attock Petroleum Limited,
SHEL,Shell Pakistan Limited,
WAFI,Wafi Energy Pakistan Limited,
PIBTL,Pakistan International Bulk Terminal Limited,
PNSC,Pakistan National Shipping Corporation Limited,
PSX,Pakistan Stock Exchange Limited,
ACPL,Attock Cement Pakistan Limited,
KOHC,Kohat Cement Company Limited,
BWCL,Bestway Cement Limited,
POWER,Power Cement Limited,
GWLC,Gharibwal Cement Limited,
FECTC,Fecto Cement Limited,
DCL,Dewan Cement Limited,
FATIMA,Fatima Fertilizer Company Limited,
EPCL,Engro Polymer & Chemicals Limited,
DAWH,Dawood Hercules Corporation Limited,
FCEPL,FrieslandCampina Engro Pakistan Limited,
PREMA,At-Tahur Limited,
MUREB,Murree Brewery Company Limited,
TOMCL,The Organic Meat Company Limited,
ASC,Al-Shaheer Corporation Limited,
GADT,Gadoon Textile Mills Limited,
NCL,Nishat Chunian Limited,
ANL,Azgard Nine Limited,
SAZEW,Sazgar Engineering Works Limited,
DFML,Dewan Farooque Motors Limited,
LOADS,Loads Limited,
BWHL,Baluchistan Wheels Limited,
AGIL,Agriauto Industries Limited,
PABC,Pakistan Aluminium Beverage Cans Limited,
LOTCHEM,Lotte Chemical Pakistan Limited,
ICI,ICI Pakistan Limited,
DOL,Descon Oxychem Limited,
HUMNL,Hum Network Limited,
TPLP,TPL Properties Limited,
TPL,TPL Corp Limited,
OCTOPUS,Octopus Digital Limited,
GGL,Ghani Global Holdings Limited,
GGGL,Ghani Global Glass Limited,
BIPL,BankIslami Pakistan Limited,
JSBL,JS Bank Limited,
SNBL,Soneri Bank Limited,
FABL,Faysal Bank Limited,
CNERGY,Cnergyico PK Limited,
HASCOL,Hascol Petroleum Limited,
HTL,Hi-Tech Lubricants Limited,
ISIL,Ismail Industries Limited,
SPEL,Synthetic Products Enterprises Limited,
BIFO,Biafo Industries Limited,
EFUL,EFU Life Assurance Limited,
EFUG,EFU General Insurance Limited,
JLICL,Jubilee Life Insurance Company Limited,
AICL,Adamjee Insurance Company Limited,
KAPCO,Kot Addu Power Company Limited,
NCPL,Nishat Chunian Power Limited,
NPL,Nishat Power Limited,
